RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
27,65584444,Customer_26,729,France,Female,59,0,157653.41,2,1,0,196048.18,1
28,54085033,Customer_27,398,France,Male,46,1,148548.51,3,1,0,191608.76,1
29,76454358,Customer_28,607,France,Female,30,5,0.0,1,0,0,95866.16,0
30,15999656,Customer_29,340,Spain,Female,19,6,154357.68,1,1,1,194519.12,0
31,20074960,Customer_30,332,Spain,Female,18,1,134562.6,1,1,0,196794.44,0
32,88081555,Customer_31,644,Germany,Female,30,6,0.0,2,1,1,151273.09,1
33,51935423,Customer_32,466,France,Female,64,0,207793.88,2,0,0,163434.11,1
34,16183496,Customer_33,688,France,Male,44,2,56792.22,2,0,1,31685.43,0
35,51420997,Customer_34,385,France,Female,43,5,28393.01,2,1,1,61353.42,0
36,52459583,Customer_35,365,France,Female,40,0,231167.5,1,1,0,33261.59,0
37,22277581,Customer_36,693,France,Female,32,6,185424.68,1,1,0,39112.14,0
38,29764840,Customer_37,413,France,Female,58,5,91228.36,2,0,1,157671.69,0
39,55860127,Customer_38,332,France,Male,18,6,0.0,1,0,1,48893.53,0
40,77608325,Customer_39,734,Spain,Male,52,5,205776.64,2,0,0,81818.37,1
41,69262403,Customer_40,688,France,Male,71,7,41505.45,1,0,0,92928.94,1
42,70517290,Customer_41,812,Germany,Male,68,7,0.0,2,1,0,22992.23,1
43,73297342,Customer_42,630,Spain,Female,39,7,137056.59,3,0,1,173647.97,0
44,29537362,Customer_43,562,France,Female,66,2,24201.09,1,1,1,170684.49,1
45,74998408,Customer_44,669,Germany,Male,31,7,240582.01,1,0,0,13639.31,1
46,75566049,Customer_45,736,Germany,Male,31,1,51732.05,2,0,1,122513.62,0
47,40927198,Customer_46,646,France,Female,37,0,0.0,1,1,0,123718.0,0
48,69647365,Customer_47,475,France,Male,19,10,178057.96,2,0,0,128770.14,0
49,34631305,Customer_48,790,Spain,Female,33,1,42406.56,2,1,1,59151.46,0
50,23614712,Customer_49,687,France,Female,66,1,7334.31,1,1,1,42136.51,0
51,20904007,Customer_50,783,France,Male,61,3,58327.28,1,0,1,26454.65,0
52,27826577,Customer_51,607,France,Male,36,10,0.0,1,1,0,147040.04,1
53,39058750,Customer_52,547,Germany,Female,35,9,32465.51,1,0,0,103544.86,1
54,97249432,Customer_53,764,Spain,Male,37,7,235078.18,1,0,0,126426.78,0
55,76092343,Customer_54,637,Spain,Female,24,2,0.0,1,0,1,115954.9,0
56,25272831,Customer_55,727,Germany,Male,27,6,56834.57,1,0,1,135001.73,0
57,39513757,Customer_56,790,France,Male,74,9,29150.41,2,1,0,144040.05,1
58,91888561,Customer_57,456,Spain,Male,57,3,17824.66,1,0,1,50212.37,0
59,78079524,Customer_58,406,France,Female,56,2,0.0,1,1,0,140714.63,1
60,96144979,Customer_59,382,France,Female,33,9,220647.81,1,0,0,62445.21,0
61,70302109,Customer_60,630,Spain,Female,66,1,0.0,2,1,1,15261.88,1
62,58179667,Customer_61,745,France,Male,28,10,141590.4,1,1,1,165592.12,0
63,75779587,Customer_62,837,Spain,Female,73,5,0.0,1,0,0,152807.71,1
64,66173751,Customer_63,318,Germany,Male,46,7,0.0,2,0,0,152980.87,1
65,16674393,Customer_64,300,Spain,Female,36,4,0.0,2,1,1,81386.66,0
66,46620716,Customer_65,674,Spain,Female,60,7,79191.3,2,1,0,156976.14,1
67,49838837,Customer_66,448,Spain,Male,41,10,225233.13,2,0,1,65081.83,0
68,59684448,Customer_67,562,France,Female,33,5,61184.48,1,0,0,66623.86,0
69,25368355,Customer_68,343,France,Male,56,2,55882.73,1,1,0,79525.61,1
70,80560190,Customer_69,341,France,Male,59,0,212974.0,1,1,1,147470.83,1
71,17035676,Customer_70,590,France,Male,52,10,130558.76,2,0,0,57175.92,1
72,94155365,Customer_71,679,France,Female,44,10,14034.24,3,0,0,24124.51,1
73,36445073,Customer_72,788,Germany,Male,36,7,26379.07,2,0,0,59255.46,1
74,57829061,Customer_73,566,France,Female,41,0,72750.15,1,1,0,97251.76,0
75,67734685,Customer_74,655,France,Male,67,9,0.0,2,1,0,70591.1,1
76,45019123,Customer_75,773,France,Female,38,5,0.0,2,1,1,146747.39,0
77,75237039,Customer_76,537,France,Female,73,2,179623.59,1,1,0,24705.6,1
78,14355711,Customer_77,414,Spain,Male,26,4,110227.93,1,1,0,134629.4,0
79,91554010,Customer_78,754,Spain,Female,27,10,0.0,1,0,1,69623.33,0
80,43707439,Customer_79,301,Germany,Female,36,8,74222.67,1,0,0,44929.56,1
81,74762934,Customer_80,452,Spain,Male,18,6,0.0,2,0,0,54315.76,0
82,10264097,Customer_81,371,France,Male,68,8,91909.17,1,1,0,47726.29,1
83,17619379,Customer_82,654,Germany,Male,37,9,0.0,2,1,1,173579.2,1
84,40565235,Customer_83,448,France,Female,23,6,35894.89,1,0,1,66135.81,0
85,73645440,Customer_84,489,France,Female,53,3,157990.72,1,0,0,164434.38,1
86,90363818,Customer_85,659,France,Female,72,0,0.0,2,0,0,65127.07,1
87,17605136,Customer_86,463,Spain,Female,74,1,0.0,2,1,0,10712.31,1
88,95868031,Customer_87,499,France,Female,24,2,151499.22,2,1,0,11299.16,0
89,84693759,Customer_88,575,France,Male,63,8,180943.74,2,1,1,79869.46,1
90,88517311,Customer_89,365,Spain,Male,38,1,0.0,2,0,1,172297.52,0
91,13381758,Customer_90,815,France,Female,65,1,221386.22,1,1,0,122426.4,1
92,28256865,Customer_91,840,Spain,Male,52,10,4852.87,2,0,0,139106.11,1
93,59520474,Customer_92,692,France,Male,59,4,38790.15,1,1,1,88788.55,1
94,51237756,Customer_93,359,France,Female,65,1,0.0,2,1,0,62309.75,1
95,83773826,Customer_94,560,France,Female,69,9,116364.09,2,1,1,132158.05,1
96,99181804,Customer_95,495,Spain,Female,26,10,218361.21,1,0,1,120095.92,0
97,42717904,Customer_96,391,France,Male,59,5,203831.94,2,0,1,16617.78,0
98,68678109,Customer_97,783,France,Female,26,1,132671.77,2,1,1,115088.16,0
99,47471795,Customer_98,528,France,Male,71,6,0.0,1,1,1,129840.09,1
100,96286814,Customer_99,659,Germany,Male,53,9,0.0,2,1,1,80000.07,1
101,69246335,Customer_100,680,Germany,Female,28,10,163365.38,2,0,1,74971.14,0
102,53759785,Customer_101,476,Spain,Female,34,6,174311.06,1,0,0,159610.19,0
103,38990212,Customer_102,492,France,Female,69,10,127620.79,2,1,1,80466.67,0
104,15111480,Customer_103,834,Germany,Female,54,9,54717.43,2,0,0,64425.03,1
105,95176464,Customer_104,754,Germany,Female,31,1,39580.32,1,1,1,159094.1,0
106,64735314,Customer_105,576,Spain,Male,64,6,41225.75,1,0,0,197120.14,1
107,27817255,Customer_106,593,France,Male,58,7,0.0,2,1,1,45109.44,1
108,38745033,Customer_107,304,France,Female,22,8,0.0,2,1,1,81901.71,0
109,13366313,Customer_108,412,France,Female,34,5,78197.17,2,1,0,10498.44,0
110,62450936,Customer_109,303,Germany,Male,66,8,0.0,2,1,1,102289.38,1
111,94621043,Customer_110,744,France,Male,37,6,149383.27,2,0,1,63738.48,0
112,67134009,Customer_111,818,France,Male,20,2,0.0,1,0,0,166868.56,0
113,51538202,Customer_112,389,France,Male,52,5,81035.33,1,0,0,183996.66,1
114,44619308,Customer_113,454,Spain,Female,69,10,29235.28,2,1,1,32072.46,1
115,82852589,Customer_114,494,France,Male,49,9,0.0,1,0,1,174122.56,1
116,82792565,Customer_115,747,Germany,Male,73,7,0.0,4,1,0,50847.29,1
117,70460276,Customer_116,524,Germany,Female,24,3,240751.73,1,1,0,68512.57,1
118,38192326,Customer_117,324,Spain,Male,56,2,185863.06,1,1,1,178291.09,0
119,80433779,Customer_118,622,France,Male,55,3,34670.52,2,1,1,79396.68,0
120,32177792,Customer_119,380,Spain,Male,74,3,139458.76,1,0,1,13204.33,1
121,41795807,Customer_120,655,Spain,Male,47,10,0.0,1,1,1,19843.17,1
122,38084948,Customer_121,772,Spain,Male,64,5,234869.37,2,0,0,74158.08,1
123,95188389,Customer_122,337,France,Male,26,4,232949.64,2,1,0,178039.74,0
124,93552825,Customer_123,847,France,Male,20,9,204461.94,1,0,0,26848.14,0
125,33884071,Customer_124,665,France,Male,58,4,70013.08,1,1,0,47159.15,1
126,99996325,Customer_125,328,France,Male,18,8,158397.14,2,1,0,193794.47,0
127,66152132,Customer_126,421,France,Male,67,7,177783.18,1,0,0,88179.63,1
128,85409213,Customer_127,392,France,Female,19,3,0.0,1,0,0,175802.83,0
129,57620104,Customer_128,786,France,Male,57,10,0.0,1,0,1,82842.77,0
130,40921994,Customer_129,698,Spain,Male,43,7,0.0,2,1,0,108478.24,1
131,15796733,Customer_130,505,France,Female,54,10,81520.33,1,1,0,189917.97,1
132,81663418,Customer_131,591,Germany,Male,53,0,0.0,2,1,0,191711.99,1
133,83252991,Customer_132,491,Spain,Male,43,3,230596.92,1,0,0,41451.64,0
134,50421724,Customer_133,523,France,Female,45,3,132015.84,2,0,1,138583.49,0
135,18218050,Customer_134,651,Spain,Female,46,7,36063.57,2,0,1,90601.23,0
136,62832913,Customer_135,407,France,Male,56,9,109307.55,1,1,0,38454.97,1
137,79278267,Customer_136,718,Germany,Female,58,1,0.0,2,0,1,14896.95,1
138,56581869,Customer_137,820,France,Female,43,1,0.0,1,0,0,106481.31,0
139,50410391,Customer_138,836,Germany,Male,38,7,106208.64,2,0,0,27809.63,1
140,88432205,Customer_139,394,France,Male,20,3,0.0,2,1,0,188290.23,1
141,71938137,Customer_140,526,France,Male,62,7,68930.38,1,0,0,57488.73,1
142,93623196,Customer_141,446,France,Female,30,0,0.0,2,0,0,93565.88,1
143,44914324,Customer_142,649,Germany,Male,42,5,75188.82,2,0,1,148011.57,0
144,55583513,Customer_143,478,Spain,Male,74,0,169867.46,1,1,1,106457.54,0
145,69852917,Customer_144,517,France,Male,62,10,229415.65,1,1,1,81697.88,0
146,23858808,Customer_145,376,France,Female,37,1,204889.19,2,0,1,129624.42,0
147,67448094,Customer_146,608,France,Male,45,1,0.0,1,1,0,47560.46,1
148,16411683,Customer_147,595,Spain,Male,36,1,134184.1,2,1,0,103242.57,0
149,45925892,Customer_148,603,France,Male,53,2,212753.71,1,0,0,192999.99,1
150,41381617,Customer_149,488,France,Female,26,5,234523.43,2,0,0,159103.81,0
151,86820907,Customer_150,716,Germany,Male,72,6,195028.04,1,0,1,73592.91,1
152,71130772,Customer_151,634,Germany,Female,74,9,164425.88,1,1,1,183401.68,1
153,95065240,Customer_152,397,France,Male,35,9,0.0,2,0,0,176225.97,1
154,14035264,Customer_153,502,Spain,Male,31,0,0.0,2,0,0,61578.56,0
155,95247037,Customer_154,664,France,Male,48,4,106677.35,1,1,0,187497.82,1
156,11816075,Customer_155,364,Spain,Male,54,9,240899.77,2,0,0,102216.75,1
157,82655916,Customer_156,494,France,Male,54,1,138417.53,1,0,1,187236.47,0
158,17259309,Customer_157,780,Spain,Female,20,7,0.0,1,1,0,114437.82,0
159,25828148,Customer_158,543,Spain,Male,58,4,30180.4,2,1,1,28380.51,1
160,96828088,Customer_159,580,Germany,Female,21,1,0.0,3,0,0,36442.41,1
161,23628742,Customer_160,675,France,Male,37,0,0.0,1,0,1,104592.78,0
162,61851322,Customer_161,477,Germany,Female,58,3,70556.41,2,1,1,14718.47,1
163,42231645,Customer_162,755,France,Male,68,0,0.0,2,0,1,155997.43,0
164,29368570,Customer_163,309,France,Male,54,2,232404.21,1,1,1,68458.32,1
165,13099989,Customer_164,560,Spain,Male,27,6,244435.08,2,1,1,15948.46,0
166,63492553,Customer_165,629,France,Female,56,8,88119.68,1,0,0,133244.16,1
167,35211926,Customer_166,431,Germany,Female,20,5,0.0,2,0,1,125076.19,1
168,64412580,Customer_167,731,Germany,Female,31,7,0.0,2,0,0,34049.6,1
169,72962982,Customer_168,343,France,Female,25,0,111695.04,1,1,0,44440.16,0
170,48777216,Customer_169,658,Germany,Male,74,3,67326.67,1,1,1,151250.73,1
171,49133237,Customer_170,648,France,Male,38,7,0.0,1,1,1,38708.97,0
172,19938991,Customer_171,734,Spain,Male,49,0,72899.8,1,1,0,11225.02,0
173,42691929,Customer_172,414,France,Female,63,6,73997.89,2,1,0,199945.49,1
174,69868633,Customer_173,385,Germany,Male,73,1,0.0,2,1,1,65133.06,1
175,77727564,Customer_174,619,France,Male,74,4,6699.09,2,0,1,179299.82,0
176,25214334,Customer_175,835,France,Female,27,6,224687.9,2,1,0,88674.46,0
177,39731104,Customer_176,732,France,Male,40,10,56303.16,1,0,0,192927.76,0
178,33518224,Customer_177,416,Germany,Female,41,0,158072.82,2,1,1,91677.85,0
179,62536921,Customer_178,524,Germany,Male,63,6,0.0,1,0,0,152367.58,1
180,81064100,Customer_179,446,Spain,Female,37,5,96034.6,1,1,0,193472.4,0
181,88589972,Customer_180,729,Germany,Female,31,0,0.0,1,0,0,63639.75,1
182,69943804,Customer_181,582,Germany,Female,61,6,249454.36,2,0,1,15643.02,1
183,11883187,Customer_182,541,Spain,Male,46,0,217358.73,2,1,1,95241.55,0
184,23559184,Customer_183,302,France,Male,60,7,213157.4,1,1,0,154644.98,1
185,14545850,Customer_184,649,Germany,Male,39,2,52360.97,2,0,0,117160.6,1
186,60944261,Customer_185,543,Spain,Male,45,1,142614.87,2,1,1,168698.45,0
187,20501606,Customer_186,321,France,Female,18,0,217121.4,2,1,0,60673.88,0
188,33656258,Customer_187,407,France,Male,18,5,0.0,1,1,1,22907.61,0
189,32612980,Customer_188,700,Spain,Male,18,2,9717.43,1,0,0,51974.58,0
190,74946056,Customer_189,712,France,Male,27,5,0.0,1,1,1,53461.25,0
191,62995238,Customer_190,572,Germany,Female,37,9,0.0,2,1,0,73699.67,1
192,41478039,Customer_191,717,France,Male,20,9,28669.21,2,0,0,69238.9,0
193,44642472,Customer_192,706,France,Male,27,8,22775.68,1,1,0,54501.85,0
194,27916950,Customer_193,639,Germany,Male,66,5,0.0,1,0,0,33147.59,1
195,17652248,Customer_194,414,France,Male,66,1,57477.68,2,0,0,109148.08,1
196,40542672,Customer_195,532,France,Female,34,4,97803.73,2,0,1,145165.92,0
197,43107577,Customer_196,749,Spain,Male,71,0,100432.19,1,0,1,182582.21,0
198,89077147,Customer_197,470,Germany,Female,24,1,0.0,2,1,0,62396.02,1
199,40501188,Customer_198,663,France,Female,19,3,8017.72,4,1,1,135502.11,0
200,14311935,Customer_199,755,France,Female,38,7,0.0,2,0,1,110236.44,0
201,55748509,Customer_200,593,Germany,Female,33,8,0.0,1,1,0,177937.98,1
202,75835217,Customer_201,579,Germany,Female,22,6,0.0,2,0,0,142061.88,1
203,41418546,Customer_202,403,Spain,Male,66,2,0.0,2,0,1,44761.16,1
204,94009178,Customer_203,573,France,Male,73,7,160684.4,2,1,1,60602.69,1
205,24212763,Customer_204,323,France,Female,33,10,169490.49,1,0,0,128651.88,0
206,33111696,Customer_205,362,France,Female,35,7,75460.61,1,0,0,152724.59,0
207,97613247,Customer_206,598,France,Male,58,8,213295.74,1,0,1,24952.95,1
208,24619571,Customer_207,420,Spain,Male,71,9,154292.42,1,0,1,132811.33,0
209,27560688,Customer_208,491,France,Male,34,7,115617.23,2,0,1,42379.59,0
210,94437911,Customer_209,498,Spain,Male,56,9,0.0,1,0,0,189157.98,1
211,73440917,Customer_210,560,Spain,Male,19,3,0.0,2,0,0,193113.72,1
212,46627211,Customer_211,685,Spain,Male,50,3,0.0,2,0,1,173248.22,1
213,31035316,Customer_212,545,France,Male,74,1,70256.16,2,1,0,173501.57,1
214,28576665,Customer_213,765,Germany,Female,45,2,145280.54,1,0,1,192616.54,0
215,22495915,Customer_214,565,Spain,Female,54,6,0.0,1,1,1,64352.75,1
216,38396896,Customer_215,847,Spain,Female,57,10,138344.87,1,0,0,109296.75,1
217,22473739,Customer_216,850,France,Female,54,2,0.0,2,0,1,35441.73,0
218,56559906,Customer_217,535,France,Male,57,7,242073.0,1,0,1,96674.25,0
219,99949689,Customer_218,721,Germany,Male,68,0,141542.3,1,0,0,29884.43,1
220,47560458,Customer_219,549,France,Female,18,10,0.0,1,0,1,141416.3,0
221,86901440,Customer_220,782,France,Female,68,5,124739.16,2,1,0,24376.47,1
222,57709512,Customer_221,722,France,Female,69,5,92890.17,2,1,0,173317.89,0
223,88711051,Customer_222,486,Spain,Female,69,3,105454.84,4,0,0,171798.65,1
224,44892900,Customer_223,476,Germany,Female,38,10,121512.79,1,0,0,193467.72,1
225,69731146,Customer_224,785,France,Female,51,4,207029.56,1,0,0,15173.81,0
226,57738932,Customer_225,597,Germany,Female,38,1,60939.88,2,0,1,165536.55,0
227,79040884,Customer_226,682,France,Female,65,6,0.0,1,0,1,65640.67,1
228,91256997,Customer_227,673,Spain,Male,41,6,180051.8,1,1,1,47217.09,0
229,27259810,Customer_228,391,Spain,Male,35,8,0.0,2,1,1,152605.47,0
230,83735661,Customer_229,430,France,Male,57,5,79186.65,2,0,0,32812.34,1
231,28762610,Customer_230,796,France,Male,20,3,0.0,1,0,1,176401.22,0
232,63594007,Customer_231,454,France,Female,39,0,233786.45,2,0,1,176312.69,0
233,58220590,Customer_232,778,Germany,Male,29,10,0.0,1,0,0,115632.58,1
234,47928559,Customer_233,496,Spain,Male,39,2,194756.7,1,1,0,90319.18,0
235,85507315,Customer_234,766,Germany,Female,43,3,97409.1,1,1,1,179001.23,0
236,86333845,Customer_235,618,Germany,Male,21,1,242932.89,1,0,0,145350.8,1
237,26525906,Customer_236,354,France,Female,67,2,146285.91,1,0,1,16115.51,0
238,41891301,Customer_237,448,Germany,Male,41,0,0.0,2,1,1,88283.72,1
239,95013846,Customer_238,824,France,Male,38,3,0.0,3,0,0,91658.11,1
240,89230517,Customer_239,414,France,Male,26,10,120947.72,2,0,0,172667.16,0
241,27431373,Customer_240,425,Germany,Male,74,2,0.0,2,1,0,177722.54,1
242,26953247,Customer_241,382,Germany,Male,66,10,0.0,1,1,1,113277.09,1
243,87868526,Customer_242,635,France,Male,45,6,0.0,1,1,0,31330.4,1
244,34304498,Customer_243,745,Spain,Male,37,9,0.0,1,1,0,125724.69,0
245,93789038,Customer_244,815,Spain,Male,44,6,41493.33,2,1,0,97481.55,0
246,64039229,Customer_245,788,Germany,Female,72,10,84739.91,1,1,0,90355.29,1
247,44578211,Customer_246,787,Spain,Male,30,6,198107.41,1,0,1,197021.35,0
248,72880058,Customer_247,798,France,Male,57,9,0.0,2,0,1,199206.93,0
249,75366279,Customer_248,612,France,Male,69,0,0.0,1,0,1,87823.71,1
250,92793804,Customer_249,752,France,Female,61,10,137392.45,2,1,0,187570.61,0
251,36486630,Customer_250,649,Spain,Female,67,0,78367.0,1,1,1,56474.92,0
252,48197250,Customer_251,375,Germany,Female,72,2,103228.17,2,0,1,46763.98,1
253,70153984,Customer_252,313,France,Female,21,8,74189.7,2,1,0,134777.57,0
254,47016591,Customer_253,353,France,Male,31,2,160952.75,1,1,1,105088.3,0
255,73747277,Customer_254,490,France,Female,26,0,124193.37,1,1,1,151695.85,0
256,16083474,Customer_255,575,Spain,Male,50,9,0.0,2,1,1,30877.98,1
257,98091113,Customer_256,651,Germany,Female,41,5,168433.2,2,1,0,101659.04,1
258,71073175,Customer_257,587,France,Male,20,5,60553.17,1,0,1,139537.27,0
259,75489097,Customer_258,501,France,Male,49,3,0.0,1,0,1,105203.31,1
260,80644259,Customer_259,703,Spain,Female,23,7,12657.22,1,0,1,64402.18,0
261,34432242,Customer_260,774,France,Female,41,3,61939.48,1,1,1,105154.46,0
262,10898299,Customer_261,422,Germany,Female,38,6,32000.53,2,1,0,121196.57,1
263,67695030,Customer_262,444,France,Male,68,1,103403.04,1,0,0,114567.85,1
264,11664699,Customer_263,812,France,Male,56,3,236235.15,1,0,1,117518.93,0
265,36895009,Customer_264,834,Germany,Male,53,0,206901.98,2,0,0,94129.84,1
266,75448043,Customer_265,470,France,Male,65,3,123851.84,2,1,0,72891.54,1
267,77432920,Customer_266,580,France,Male,28,4,101142.63,1,1,0,23379.37,0
268,90982546,Customer_267,618,France,Male,32,8,10786.11,2,0,1,18830.18,0
269,16409093,Customer_268,649,France,Female,60,9,123132.38,2,1,1,111424.37,0
270,75214523,Customer_269,776,France,Male,60,5,64403.21,1,1,1,173167.47,0
271,54239979,Customer_270,358,France,Female,19,10,0.0,1,0,0,159278.63,0
272,29066871,Customer_271,588,France,Female,30,3,211408.2,2,0,0,111888.19,0
273,88477082,Customer_272,419,France,Female,30,5,180877.08,1,0,1,131504.92,0
274,63336708,Customer_273,715,Spain,Male,18,6,0.0,1,1,1,195525.09,0
275,98313046,Customer_274,628,Spain,Male,55,1,117572.63,2,0,1,193774.97,0
276,54718739,Customer_275,712,France,Male,21,4,124690.87,1,0,0,199013.02,0
277,74846137,Customer_276,798,France,Female,65,9,140650.14,1,0,0,13132.72,1
278,14729624,Customer_277,735,Spain,Male,51,5,0.0,1,1,1,130879.64,1
279,17620884,Customer_278,770,Germany,Male,61,10,0.0,1,0,1,151563.71,1
280,46231512,Customer_279,746,Germany,Female,46,7,18070.68,2,1,0,29583.76,1
281,58818009,Customer_280,644,France,Female,73,1,166367.03,1,0,1,79014.99,1
282,23616581,Customer_281,516,France,Female,33,5,127827.36,1,0,0,41372.72,0
283,57503446,Customer_282,485,France,Male,49,4,148557.04,2,1,0,83078.93,1
284,85396573,Customer_283,500,France,Female,18,10,221940.8,2,1,1,93829.12,0
285,53980422,Customer_284,634,Spain,Male,65,3,226703.64,2,1,1,43890.09,0
286,20597953,Customer_285,742,France,Male,50,5,0.0,1,1,1,104255.98,0
287,52295652,Customer_286,502,France,Female,28,7,172449.84,1,0,1,45640.69,0
288,56653267,Customer_287,619,France,Female,64,10,123542.47,2,0,1,185235.58,0
289,11907146,Customer_288,528,Spain,Male,74,6,0.0,1,0,0,42200.56,1
290,66817744,Customer_289,634,France,Male,21,9,203437.04,1,1,1,107384.33,0
291,71804756,Customer_290,751,Germany,Male,66,1,0.0,2,0,1,75415.29,1
292,70021589,Customer_291,526,France,Female,59,9,0.0,2,0,1,90321.98,1
293,64042821,Customer_292,518,Germany,Female,38,2,170879.4,2,1,1,83981.43,0
294,79886058,Customer_293,411,France,Male,54,8,77030.46,1,1,1,195945.29,1
295,59310526,Customer_294,574,Germany,Male,62,5,75131.23,4,1,1,136086.68,1
296,29183889,Customer_295,551,Germany,Female,45,6,32173.63,1,1,1,19257.66,0
297,74303866,Customer_296,388,Germany,Female,55,1,0.0,2,1,0,168665.99,1
298,38848370,Customer_297,834,Germany,Male,20,5,0.0,1,1,0,113632.3,1
299,59708239,Customer_298,773,Germany,Female,70,0,183003.64,2,1,1,32137.75,1
300,72859209,Customer_299,460,Spain,Female,70,6,0.0,2,0,1,99604.35,1
301,48406795,Customer_300,820,Germany,Male,29,4,0.0,2,1,1,35364.75,1
302,40086930,Customer_301,449,France,Female,45,2,242792.93,2,0,0,115926.61,0
303,21704459,Customer_302,530,Spain,Female,31,5,49838.18,1,0,0,80435.78,0
304,45608372,Customer_303,372,Spain,Male,40,2,179090.27,1,1,0,22693.06,0
305,31432252,Customer_304,637,Germany,Female,33,0,0.0,1,1,1,134176.43,0
306,56649725,Customer_305,565,France,Female,67,0,71008.13,2,0,1,54347.9,0
307,69388446,Customer_306,447,France,Male,57,3,114677.75,1,0,1,155609.83,1
308,43697099,Customer_307,458,Spain,Male,66,8,144541.53,1,1,1,181724.52,1
309,57325632,Customer_308,815,France,Female,63,6,175819.97,1,1,0,56123.02,1
310,49641777,Customer_309,678,France,Male,59,1,186533.21,2,1,1,68110.7,0
311,73060058,Customer_310,384,France,Male,27,4,0.0,1,1,0,18850.06,1
312,67467403,Customer_311,374,France,Male,65,6,217890.26,2,1,1,101487.82,0
313,89373751,Customer_312,338,France,Female,62,2,180229.76,1,1,0,169654.19,1
314,59884891,Customer_313,436,France,Female,25,1,195831.25,1,0,0,30931.51,0
315,66178408,Customer_314,706,France,Female,23,2,87454.0,2,0,0,41871.34,0
316,49265582,Customer_315,334,France,Female,61,0,0.0,1,1,1,151474.64,1
317,15384920,Customer_316,437,France,Male,40,2,153455.16,2,1,0,131240.55,0
318,88413738,Customer_317,322,Spain,Male,36,5,85213.82,1,0,0,47873.8,0
319,55410350,Customer_318,657,France,Female,40,8,42832.65,3,1,1,42536.79,0
320,40867857,Customer_319,748,Germany,Male,67,9,146122.35,1,0,0,23389.77,1
321,65549678,Customer_320,591,Germany,Female,38,7,192725.24,1,1,1,13352.66,0
322,34139937,Customer_321,799,France,Male,39,3,86839.63,2,1,0,90292.51,0
323,78974437,Customer_322,679,France,Male,40,10,217067.65,2,0,0,30492.96,0
324,40616830,Customer_323,720,Spain,Female,21,10,217286.93,1,1,1,65499.24,0
325,95522598,Customer_324,472,Germany,Male,20,3,190758.61,1,0,0,176046.69,1
326,66240599,Customer_325,776,Spain,Male,41,0,32856.32,1,0,0,19376.46,0
327,56609186,Customer_326,647,Germany,Male,18,4,128794.59,2,0,1,161387.02,0
328,10766115,Customer_327,347,Spain,Male,61,5,245622.06,1,1,1,82508.69,1
329,80714855,Customer_328,345,Spain,Male,42,7,65642.39,1,1,1,88258.29,0
330,42766541,Customer_329,794,France,Female,46,1,9976.98,2,0,0,194806.47,1
331,15504956,Customer_330,451,Spain,Male,37,5,130087.14,1,0,0,118011.01,0
332,13966533,Customer_331,556,France,Female,61,3,67349.41,2,0,0,16960.82,1
